断面编号  起点距(m)  流量(m3/s)  底高程(m)  水位(m)  面积(m2)
       J54   20231.000000     499.949219      80.360001       4.497520     346.424255
       J53   20000.000000     499.947754      80.699997       3.684723     312.563965
       J52   19500.000000     499.946747      80.269997       3.814949     547.435059
       J51   19000.000000     499.943268      79.470001       4.463394     841.608704
       J50   18500.000000     499.937134      77.339996       6.239662     441.414734
       J49   18000.000000     499.937622      76.620003       5.986832     248.978806
       J48   17500.000000     499.936157      77.040001       5.223656     440.656372
       J47   17000.000000     499.932922      76.440002       5.282890     453.691681
       J46   16732.000000     499.931152      76.849998       4.484184     396.206085
       J45   16500.000000     499.929749      76.570000       4.366425     350.730103
       J44   16000.000000     499.928223      76.110001       4.213051     450.538239
       J43   15642.000000     499.926788      74.919998       5.263023     759.800476
       J42   15375.000000     499.922241      74.900002       5.004662     383.434998
       J41   15000.000000     499.924561      74.650002       4.649704     354.642181
       J40   14500.000000     499.921814      74.129997       4.413559     339.129639
       J39   14025.000000     499.920654      72.680000       5.691269     583.098877
       J38   13773.000000     499.915131      73.080002       5.100990     406.653717
       J37   13500.000000     499.915192      72.040001       5.833633     354.316101
       J36   13000.000000     499.912628      72.309998       5.193398     469.595245
       J35   12500.000000     499.912933      72.410004       4.692818     459.071716
       J34   12000.000000     499.910828      72.160004       4.523125     439.082916
       J33   11500.000000     499.907501      70.900002       5.296272     477.929230
       J32   11000.000000     499.906921      70.599998       5.116341     551.113831
       J31   10500.000000     499.900116      70.449997       4.791626     492.561462
       J30   10000.000000     499.898621      70.489998       4.111198     375.065582
       J29    9500.000000     499.899994      70.139999       4.426315    1288.942139
       J28    9142.000000     499.889038      69.389999       5.119514    1172.413330
       J27    9000.000000     499.892731      70.279999       4.146095     562.439148
       J26    8760.000000     499.894318      68.430000       5.876907     651.620972
       J25    8500.000000     499.898071      68.300003       5.868179     627.559509
       J24    7950.000000     499.893402      66.589996       7.299919     684.800415
       J23    7500.000000     499.888550      67.410004       6.239166     795.905212
       J22    7000.000000     499.884125      67.010002       5.766785     420.693848
       J21    6500.000000     499.880676      66.190002       5.885445     441.461426
       J20    6000.000000     499.879974      64.870003       6.820900     387.283752
       J19    5763.000000     499.879242      65.209999       6.235382     306.830841
       J18    5598.000000     499.878601      66.239998       5.032310     389.728241
       J17    5500.000000     499.879211      64.150002       6.904297     365.202820
       J16    5231.000000     499.878998      64.870003       5.922340     405.253784
       J15    5000.000000     499.879150      64.370003       6.151581     319.885101
       J14    4746.000000     499.878448      63.790001       6.559677     361.342896
       J13    4500.000000     499.877930      63.180000       6.991539     374.111511
       J12    4000.000000     499.876770      63.410000       6.196926     393.565369
       J11    3500.000000     499.873383      62.150002       6.487396     274.398315
       J10    3272.000000     499.870880      62.599998       5.902512     422.114929
       J09    2986.000000     499.872559      62.110001       6.120483     385.427856
       J08    2738.000000     499.873810      60.750000       7.188034     310.526337
       J07    2500.000000     499.873047      61.380001       6.265560     283.767761
       J06    2000.000000     499.871063      61.570000       5.336365     281.831512
       J05    1738.000000     499.870422      61.480000       4.886860     250.873825
       J04    1510.000000     499.869629      61.439999       4.277706     225.100281
       J03    1000.000000     499.868652      61.139999       4.473114     604.522644
       J02     499.000000     499.864532      60.570000       4.586273     390.524780
       J01     278.000000     499.862183      60.610001       2.116241     100.000000
